x,Curve1
-0.311,1.19395
19.848,0.80937
40.079,0.10496
59.851,-0.57978
80.105,-0.89177
99.899,-0.89175
120.053,-0.69556
139.793,-0.60135
159.613,-0.50323
179.486,-0.49537
